Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0113384	15	5	5	42	32	46	8	7	7	21	44	57	24.13	7	41	4.879	2.287	3.776	0.000159567673944961	0.00325971330226363	0.081	0.2959	0.1855	0.1855	TRUE	NA
FBtr0082057	27	16	9	76	52	51	14	24	13	39	71	63	37.35	17	58	3.321	1.732	3.773	0.000161460077625906	0.00329456774311408	0.0051	0.2003	0.112	0.112	TRUE	NA
FBtr0077245	382	149	160	544	306	431	198	223	225	278	420	535	313.16	215	411	1.844	0.883	3.762	0.00016866480385832	0.00343761410720916	0.0269	0.0467	0.036	0.036	TRUE	NA
FBtr0075275	493	186	237	732	374	423	255	279	334	374	514	525	379.96	289	471	1.61	0.687	3.761	0.000168936169033485	0.00343918270008215	0.0035	0.0431	0.0211	0.0211	TRUE	NA
FBtr0091719	191	23	20	355	89	74	99	34	28	181	122	92	92.79	54	132	2.685	1.425	3.76	0.000169911585344793	0.0034550642026836	0	0.0961	0.0853	0.0853	TRUE	NA
FBtr0085786	602	256	238	1384	375	457	312	383	335	707	515	567	469.82	343	596	1.736	0.796	3.759	0.000170395900263856	0.0034609344105257	0.0214	0.0398	0.0297	0.0297	TRUE	NA
FBtr0075706	372	101	111	919	162	224	193	151	156	469	222	278	244.97	167	323	1.884	0.914	3.756	0.000172620007246533	0.0035020877846312	0.024	0.0525	0.0372	0.0372	TRUE	NA
FBtr0079423	4553	1570	1714	6350	2295	2819	2356	2352	2415	3243	3151	3497	2835.61	2374	3297	1.389	0.474	3.755	0.000173240977128663	0.00350836569753608	0.0016	0.0282	0.0111	0.0111	TRUE	NA
FBtr0087357	1062	220	204	1598	605	433	550	330	287	816	831	537	558.41	389	728	1.931	0.949	3.743	0.000182151198149141	0.00367020141965427	0.0503	0.0376	0.044	0.044	TRUE	NA
FBtr0334634	130	32	40	311	77	81	67	48	56	159	106	100	89.43	57	122	2.118	1.083	3.742	0.000182413001632959	0.00367129512160258	1e-04	0.0987	0.0458	0.0458	TRUE	NA
FBtr0070484	933	398	407	1385	621	667	483	596	573	707	853	827	673.3	551	796	1.447	0.533	3.731	0.00019108848818389	0.00382847841954836	0	0.0356	0.0131	0.0131	TRUE	NA
FBtr0347011	563	220	186	761	449	520	291	330	262	389	617	645	422.2	294	550	1.816	0.861	3.724	0.000196258925095198	0.00390553053302492	0.0307	0.0413	0.0357	0.0357	TRUE	NA
FBtr0075453	2845	873	1098	4368	1448	1657	1472	1308	1547	2230	1988	2056	1766.87	1442	2091	1.449	0.536	3.721	0.000198359865464492	0.00394290379767677	0.0049	0.0296	0.0143	0.0143	TRUE	NA
FBtr0114627	668	232	243	935	441	444	346	347	342	477	606	551	444.89	345	545	1.565	0.646	3.717	0.000201755166958414	0.00400140208370101	0.0043	0.0406	0.0193	0.0193	TRUE	NA
FBtr0080358	198	59	69	384	113	153	102	88	97	196	155	190	138.18	96	180	1.88	0.911	3.713	0.000204741991973397	0.00404251180803723	0	0.073	0.0347	0.0347	TRUE	NA
FBtr0086180	19128	5808	6998	31164	8993	10213	9899	8699	9858	15914	12349	12670	11564.93	9485	13644	1.43	0.516	3.712	0.000205715640009515	0.00405720778975288	0.006	0.0265	0.0138	0.0138	TRUE	NA
FBtr0073779	1555	823	743	2772	1158	1302	805	1233	1047	1416	1590	1615	1284.17	1028	1540	1.517	0.602	3.701	0.000214444003091038	0.00422464238160753	0.009	0.031	0.0182	0.0182	TRUE	NA
FBtr0073118	11334	1945	1645	18383	3134	2877	5865	2913	2317	9387	4304	3569	4725.99	3698	5753	1.537	0.62	3.7	0.00021569621967508	0.0042445848968541	0.0143	0.0273	0.0199	0.0199	TRUE	NA
FBtr0086568	70	24	30	154	66	78	36	36	42	79	91	97	63.41	38	89	2.307	1.206	3.698	0.000217059269497784	0.00426192623383495	0	0.1286	0.057	0.057	TRUE	NA
FBtr0308594	295	46	31	354	237	263	153	69	44	181	325	326	182.95	89	277	3.407	1.768	3.696	0.000218665269366381	0.00428869986736213	0.2757	0.0615	0.156	0.156	TRUE	NA
FBtr0072265	4059	1334	1392	6469	2039	2051	2101	1998	1961	3303	2800	2544	2451.23	2020	2882	1.422	0.508	3.694	0.000220445768649379	0.0043188328828086	0.0039	0.0286	0.0131	0.0131	TRUE	NA
FBtr0078078	678	256	259	1169	507	416	351	383	365	597	696	516	484.74	366	603	1.647	0.72	3.693	0.000221938406180592	0.00434180527721038	0.0137	0.0394	0.025	0.025	TRUE	NA
FBtr0110922	125	85	90	145	372	417	65	127	127	74	511	517	236.83	106	367	2.687	1.426	3.692	0.000222109195403052	0.00434180527721038	0.1582	0.0534	0.1008	0.1008	TRUE	NA
FBtr0112741	401	101	97	615	200	209	208	151	137	314	275	259	223.9	165	283	1.719	0.782	3.691	0.000223358023495587	0.00435658962917358	0	0.055	0.0269	0.0269	TRUE	NA
FBtr0273423	52	14	16	203	32	52	27	21	23	104	44	65	47.09	24	71	2.963	1.567	3.687	0.000226485034095184	0.00439875267732923	0.0339	0.1642	0.097	0.097	TRUE	NA
FBtr0330306	24	3	3	83	29	21	12	4	4	42	40	26	21.57	7	36	5.292	2.404	3.684	0.000229284645382362	0.00444766958493352	0	0.3279	0.2067	0.2067	TRUE	NA
FBtr0340226	67	15	16	330	70	29	35	22	23	169	96	36	63.38	27	100	3.544	1.825	3.683	0.000230703260447315	0.00447028628759414	0.1652	0.1287	0.1463	0.1463	TRUE	NA
FBtr0074226	921	431	464	1346	654	788	477	646	654	687	898	978	723.14	592	854	1.443	0.529	3.682	0.000231561684222828	0.00448201067350772	0	0.0349	0.0134	0.0134	TRUE	NA
FBtr0078271	261	95	76	485	151	206	135	142	107	248	207	256	182.5	128	237	1.85	0.888	3.675	0.000237643474353879	0.00458140956246749	0.0097	0.0616	0.0355	0.0355	TRUE	NA
FBtr0077349	361	208	203	542	336	409	187	312	286	277	461	507	338.32	262	415	1.572	0.652	3.672	0.000241106062098291	0.00463631233106615	8e-04	0.0452	0.0195	0.0195	TRUE	NA
FBtr0083552	328	108	89	465	315	265	170	162	125	237	433	329	242.61	152	333	2.125	1.088	3.672	0.000240846830026093	0.00463631233106615	0.0635	0.0528	0.0581	0.0581	TRUE	NA
FBtr0100477	5540	1653	1735	7690	2337	2743	2867	2476	2444	3927	3209	3403	3054.33	2596	3513	1.353	0.436	3.667	0.000245802621720712	0.00472149205305224	2e-04	0.028	0.0098	0.0098	TRUE	NA
FBtr0273416	8	1	4	42	20	25	4	1	6	21	27	31	15.2	4	26	6.735	2.752	3.663	0.000249684116629547	0.00478047803819623	0.0121	0.4544	0.2535	0.2535	TRUE	NA
FBtr0080390	2	6	8	13	41	593	1	9	11	7	56	736	136.65	7	266	23.66	4.564	3.66	0.000252174091745936	0.00482293173738093	0.9507	0.0736	0.4343	0.9507	TRUE	NA
FBtr0301447	372	149	184	575	295	314	193	223	259	294	405	390	293.86	225	363	1.602	0.68	3.658	0.000253716852215699	0.00484196853565041	0	0.0481	0.0211	0.0211	TRUE	NA
FBtr0302905	66	23	16	238	55	46	34	34	23	122	76	57	57.55	30	85	2.745	1.457	3.657	0.000255277378845087	0.00486650011761684	0.0355	0.1391	0.0883	0.0883	TRUE	NA
FBtr0077088	495	164	199	835	288	328	256	246	280	426	395	407	335.15	261	409	1.574	0.654	3.652	0.000260258366773278	0.00494546806292811	0	0.0454	0.0197	0.0197	TRUE	NA
FBtr0077909	12071	4884	5260	15064	7861	8726	6247	7315	7410	7692	10795	10826	8380.76	6991	9771	1.384	0.469	3.651	0.000261463042011312	0.00496302862255592	0.0034	0.0267	0.0118	0.0118	TRUE	NA
FBtr0077903	632	207	259	944	380	445	327	310	365	482	522	552	426.32	334	519	1.548	0.631	3.646	0.000266290076957896	0.005046997890755	0.0011	0.0412	0.0189	0.0189	TRUE	NA
FBtr0075595	441	200	227	801	334	366	228	300	320	409	459	454	361.55	283	441	1.579	0.659	3.646	0.000266858816501959	0.00504919713661621	0	0.0439	0.0205	0.0205	TRUE	NA
FBtr0334322	401	111	95	731	210	186	208	166	134	373	288	231	233.33	169	297	1.755	0.811	3.644	0.000268192106654546	0.00506900273378801	0.0084	0.0538	0.0304	0.0304	TRUE	NA
FBtr0087822	488	131	124	754	219	262	253	196	175	385	301	325	272.37	208	337	1.626	0.701	3.641	0.000271214184778853	0.00512065116640629	0	0.0498	0.0223	0.0223	TRUE	NA
