Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0020415	28959	8603	11089	25894	8320	9800	14586	13445	15801	13204	11637	12012	13447.35	14611	12284	0.84	-0.252	-2.962	0.00306018907375385	0.0216884828798586	0.0057	0.0047	0.0051	0.0051	TRUE	NA
FBgn0031399	1598	550	595	1182	500	615	805	860	848	603	699	754	761.35	838	685	0.813	-0.3	-2.958	0.00309560161306251	0.0219046928721459	0	0.008	0.006	0.006	TRUE	NA
FBgn0039045	1838	682	869	1588	634	745	926	1066	1238	810	887	913	973.25	1077	870	0.813	-0.298	-2.957	0.00311109065576312	0.0219968642565041	0.0045	0.0072	0.0062	0.0062	TRUE	NA
FBgn0026323	3341	1238	1244	2510	1113	1365	1683	1935	1773	1280	1557	1673	1649.97	1797	1503	0.831	-0.267	-2.952	0.00315647938971105	0.0222824987747982	0.0036	0.0061	0.0053	0.0053	TRUE	NA
FBgn0004133	2638	854	912	1993	747	983	1329	1335	1300	1016	1045	1205	1204.8	1321	1089	0.821	-0.284	-2.95	0.00318195713617488	0.0224446107630661	0.0039	0.0067	0.0058	0.0058	TRUE	NA
FBgn0031452	1376	337	380	1038	298	374	693	527	541	529	417	458	527.62	587	468	0.798	-0.326	-2.947	0.00321152935036715	0.0226353252555474	0	0.0095	0.0067	0.0067	TRUE	NA
FBgn0038065	5431	1466	1680	4251	1476	1695	2735	2291	2394	2168	2064	2078	2288.34	2473	2103	0.85	-0.234	-2.946	0.00322132720502795	0.0226864762940848	0.0012	0.0057	0.0041	0.0041	TRUE	NA
FBgn0011739	5056	1611	1510	4194	1412	1572	2547	2518	2152	2139	1975	1927	2209.36	2406	2014	0.837	-0.256	-2.945	0.00322503415221247	0.0226946847748285	0.0033	0.0057	0.005	0.005	TRUE	NA
FBgn0035558	10847	3647	3894	9873	3393	3801	5463	5700	5549	5035	4746	4659	5191.75	5571	4813	0.865	-0.21	-2.944	0.00324267871148155	0.0227650321490018	0.0011	0.005	0.0035	0.0035	TRUE	NA
FBgn0033052	8480	2787	2698	6981	2577	2808	4271	4356	3844	3560	3604	3442	3846.16	4157	3535	0.85	-0.234	-2.941	0.00327389885689401	0.0229481293501284	0.0025	0.0052	0.0043	0.0043	TRUE	NA
FBgn0031987	722	187	222	468	176	202	364	292	316	239	246	248	284.1	324	244	0.747	-0.421	-2.941	0.00327681727003559	0.0229505711540532	0.0036	0.0137	0.0109	0.0109	TRUE	NA
FBgn0261285	928	355	286	741	258	264	467	555	408	378	361	324	415.34	477	354	0.746	-0.423	-2.938	0.00329873994065259	0.0230860091457897	0.0163	0.0108	0.0123	0.0123	TRUE	NA
