Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0259246	540	247	228	908	437	439	272	386	325	463	611	538	432.53	328	537	1.648	0.721	5.724	1.03991383759276e-08	2.56531231207275e-07	0.004	0.0106	0.0088	0.0088	TRUE	NA
FBgn0032089	168	50	55	325	122	160	85	78	78	166	171	196	128.93	80	178	2.181	1.125	5.682	1.33205847715072e-08	3.26793467059229e-07	0	0.0248	0.0187	0.0187	TRUE	NA
FBgn0029506	19279	5861	7108	31350	9069	10292	9710	9160	10128	15987	12684	12615	11713.96	9666	13762	1.416	0.502	5.606	2.07207076806834e-08	5.02814998881801e-07	0.0104	0.0048	0.0057	0.0057	TRUE	NA
FBgn0011606	2872	1023	1014	3736	1588	1743	1447	1599	1445	1905	2221	2136	1792.12	1497	2087	1.39	0.475	5.594	2.21786152517467e-08	5.35283876211077e-07	0.0019	0.006	0.0046	0.0046	TRUE	NA
FBgn0037240	3383	973	938	4558	1420	1638	1704	1521	1337	2324	1986	2008	1813.19	1521	2106	1.386	0.471	5.557	2.75109237357867e-08	6.551267972282e-07	0.0018	0.006	0.0045	0.0045	TRUE	NA
FBgn0052056	1675	678	771	2389	1020	1344	844	1060	1099	1218	1427	1647	1215.67	1001	1431	1.432	0.518	5.535	3.10703994451539e-08	7.37921986822406e-07	0.0027	0.0067	0.0054	0.0054	TRUE	NA
FBgn0020248	30	12	9	110	44	57	15	19	13	56	62	70	39.03	16	63	3.979	1.993	5.497	3.86321950048182e-08	9.05473756937076e-07	0	0.0714	0.0531	0.0531	TRUE	NA
FBgn0030318	4081	1239	1397	5029	2116	2269	2055	1936	1991	2564	2960	2781	2381.25	1994	2768	1.383	0.468	5.48	4.2532017320147e-08	9.94269410128043e-07	0.0034	0.0056	0.0048	0.0048	TRUE	NA
FBgn0266801	339	126	81	677	221	249	171	197	115	345	309	305	240.43	161	320	1.993	0.995	5.467	4.5659793893874e-08	1.06460041637675e-06	0.0326	0.0154	0.0187	0.0187	TRUE	NA
FBgn0021795	3446	1200	1492	4675	1931	2226	1736	1875	2126	2384	2701	2728	2258.35	1912	2604	1.362	0.446	5.456	4.86419852210562e-08	1.13117950006258e-06	0.0018	0.0057	0.0043	0.0043	TRUE	NA
FBgn0261563	2758	1210	1067	4463	1837	1866	1389	1891	1520	2276	2569	2287	1988.8	1600	2377	1.495	0.58	5.449	5.06618671187379e-08	1.17509213862423e-06	0.0102	0.0058	0.0076	0.0076	TRUE	NA
FBgn0011710	4464	1488	1588	5667	2212	2463	2248	2325	2263	2890	3094	3019	2639.85	2279	3001	1.315	0.396	5.433	5.53152595026483e-08	1.27639603968643e-06	0	0.0055	0.0034	0.0034	TRUE	NA
FBgn0031489	1616	614	707	2424	953	1079	814	960	1007	1236	1333	1323	1112.07	927	1297	1.408	0.494	5.415	6.13661392786096e-08	1.40512724040509e-06	0	0.0069	0.005	0.005	TRUE	NA
FBgn0039593	45	7	19	151	48	67	23	11	27	77	67	82	47.82	20	75	3.672	1.876	5.408	6.37044367426113e-08	1.45493764734404e-06	0.0136	0.0591	0.0537	0.0537	TRUE	NA
FBgn0034391	77	30	23	195	76	88	39	47	33	99	106	108	72.01	40	104	2.644	1.403	5.39	7.04178983399732e-08	1.60008099790321e-06	0	0.0408	0.0305	0.0305	TRUE	NA
FBgn0036688	493	186	237	732	374	423	248	291	338	373	523	518	381.92	292	471	1.597	0.675	5.376	7.62487872739975e-08	1.72817682831674e-06	5e-04	0.0114	0.0085	0.0085	TRUE	NA
FBgn0029823	3395	1408	1654	4275	2295	2500	1710	2200	2357	2180	3210	3064	2453.55	2089	2818	1.34	0.422	5.373	7.75771529085172e-08	1.75383284929888e-06	0.0013	0.0056	0.004	0.004	TRUE	NA
FBgn0033777	1657	533	555	2498	809	880	835	833	791	1274	1132	1079	990.39	820	1162	1.42	0.506	5.371	7.82090232320929e-08	1.75921052257579e-06	0.0012	0.0072	0.0053	0.0053	TRUE	NA
FBgn0030662	1296	514	517	1749	787	926	653	803	737	892	1101	1135	886.72	731	1043	1.421	0.507	5.361	8.25551890228388e-08	1.84766375432068e-06	3e-04	0.0075	0.0052	0.0052	TRUE	NA
FBgn0260450	921	431	464	1346	654	788	464	674	661	686	915	966	727.59	600	856	1.435	0.521	5.341	9.26712150534587e-08	2.06372556216306e-06	0	0.0081	0.0054	0.0054	TRUE	NA
FBgn0260458	837	358	486	1226	699	760	422	559	692	625	978	932	701.32	558	845	1.508	0.593	5.33	9.79946613780816e-08	2.17144497793119e-06	0.0049	0.0083	0.0074	0.0074	TRUE	NA
FBgn0001092	13254	4981	6038	15966	8152	9797	6676	7784	8604	8142	11402	12008	9102.51	7688	10517	1.354	0.438	5.299	1.16680707281529e-07	2.56640077838437e-06	0.0048	0.0048	0.0048	0.0048	TRUE	NA
FBgn0063491	1686	543	646	2252	874	1128	849	849	920	1148	1222	1383	1061.94	873	1251	1.428	0.514	5.269	1.37191258777374e-07	2.98809253873645e-06	0.0033	0.007	0.0058	0.0058	TRUE	NA
FBgn0037850	490	180	211	773	324	369	247	281	301	394	453	452	354.73	276	433	1.571	0.652	5.266	1.39186868710758e-07	3.02418184327754e-06	0	0.0119	0.0079	0.0079	TRUE	NA
FBgn0026084	1793	397	430	2322	666	792	903	620	613	1184	932	971	870.42	712	1029	1.451	0.537	5.26	1.4412616282679e-07	3.12389959719232e-06	0	0.0075	0.0062	0.0062	TRUE	NA
FBgn0039125	1559	604	733	2188	992	1094	785	944	1044	1116	1387	1341	1102.95	924	1281	1.389	0.474	5.256	1.47515407811881e-07	3.18717910474712e-06	4e-04	0.0069	0.0049	0.0049	TRUE	NA
FBgn0051361	2360	862	807	3234	1240	1421	1189	1347	1150	1649	1734	1742	1468.48	1229	1708	1.391	0.476	5.255	1.4775947921224e-07	3.18717910474712e-06	0.0028	0.0063	0.0052	0.0052	TRUE	NA
FBgn0034067	170	70	80	334	145	174	86	109	114	170	203	213	149.23	103	195	1.911	0.934	5.249	1.53329955759838e-07	3.29936507213337e-06	0	0.022	0.0151	0.0151	TRUE	NA
FBgn0027597	632	207	259	944	380	445	318	324	369	481	531	545	428.19	337	519	1.538	0.621	5.236	1.64046515109024e-07	3.50463009551096e-06	0	0.0106	0.0075	0.0075	TRUE	NA
FBgn0014163	7497	2305	2299	10447	3066	3804	3776	3602	3276	5327	4288	4663	4155.37	3551	4759	1.338	0.421	5.233	1.66493088156665e-07	3.54840877622677e-06	0.003	0.0052	0.0044	0.0044	TRUE	NA
FBgn0010314	520	165	177	964	302	294	262	258	252	492	422	360	341.05	257	425	1.658	0.729	5.228	1.71334371205207e-07	3.63672681272653e-06	0.0064	0.0122	0.0106	0.0106	TRUE	NA
FBgn0284243	35571	13973	15470	40892	22977	26944	17916	21837	22043	20852	32137	33025	24635.08	20599	28671	1.369	0.453	5.222	1.76688591980961e-07	3.73009249737584e-06	0.0067	0.0046	0.0054	0.0054	TRUE	NA
FBgn0005660	357	147	138	591	250	290	180	230	197	301	350	355	268.78	202	335	1.664	0.735	5.213	1.85396403072976e-07	3.90469311189074e-06	0	0.0142	0.0101	0.0101	TRUE	NA
FBgn0035203	1165	459	538	1636	716	905	587	717	767	834	1001	1109	835.94	690	981	1.422	0.508	5.206	1.93165639493174e-07	4.05875096629187e-06	9e-04	0.0077	0.0056	0.0056	TRUE	NA
