Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030467	1423	462	554	1796	705	766	717	722	789	916	986	939	844.82	743	947	1.275	0.351	2.905	0.00366830450076565	0.0415694506212719	0.001	0.0166	0.0092	0.0092	TRUE	0.0344
FBgn0030468	3493	1234	1255	2952	1287	1491	1759	1929	1788	1505	1800	1828	1768.16	1825	1711	0.936	-0.095	-0.753	0.451195498787836	0.828583009629643	0.0065	0.0146	0.0108	0.0108	TRUE	0.1387
FBgn0030474	1964	591	626	2017	694	873	989	924	892	1029	971	1070	979.01	935	1023	1.093	0.128	1.069	0.285109048756454	0.704477538696093	0.0017	0.0161	0.0092	0.0092	TRUE	0.0333
FBgn0030477	8	3	4	6	6	3	4	5	6	3	8	4	4.92	5	5	1.02	0.029	0.031	0.975535211637049	NA	0	0.6523	0.4141	0.4141	TRUE	0.4987
FBgn0030478	2791	997	1241	2516	1056	1162	1406	1558	1768	1283	1477	1424	1486.06	1577	1395	0.885	-0.177	-1.325	0.185031015158004	0.577055760508524	0.0082	0.015	0.0121	0.0121	TRUE	0.1348
FBgn0030479	1719	409	359	1407	366	427	866	639	512	717	512	523	628.22	672	584	0.868	-0.204	-0.96	0.337137622861376	0.755442718698435	0.0503	0.0179	0.0307	0.0307	TRUE	0.3819
FBgn0030480	324	106	160	622	140	143	163	166	228	317	196	175	207.52	186	229	1.253	0.325	1.267	0.205291040645097	0.602138866455162	0.0681	0.028	0.0421	0.0421	TRUE	1.3423
FBgn0030481	958	284	388	987	407	446	483	444	553	503	569	547	516.4	493	540	1.092	0.127	0.875	0.381331454616682	0.789520982396743	0.0053	0.0189	0.0132	0.0132	TRUE	0.1202
FBgn0030482	9140	3064	3137	7304	2810	3236	4604	4788	4470	3725	3930	3966	4247.17	4621	3874	0.838	-0.255	-2.557	0.0105482097870897	0.095920390011732	8e-04	0.0136	0.0069	0.0069	TRUE	0.0141
FBgn0030483	8	5	1	14	3	9	4	8	1	7	4	11	5.94	4	7	1.726	0.787	0.87	0.384154871592718	NA	0.0152	0.5431	0.3978	0.3978	TRUE	0.2583
FBgn0030484	2644	740	874	2371	912	1019	1332	1156	1245	1209	1276	1249	1244.52	1244	1245	0.997	-0.004	-0.034	0.973216191782592	0.995254912320371	0.0022	0.0154	0.009	0.009	TRUE	0.0477
FBgn0030485	654	170	218	722	288	366	329	266	311	368	403	449	354.22	302	407	1.335	0.417	2.55	0.0107769529336213	0.0973532654967187	0.0083	0.0217	0.0161	0.0161	TRUE	0.1132
FBgn0030486	4208	1585	1477	4162	1705	1923	2119	2477	2105	2122	2385	2357	2260.85	2234	2288	1.024	0.035	0.285	0.775563654262803	0.946401708024639	0.0058	0.0142	0.0102	0.0102	TRUE	0.1077
FBgn0030492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0030493	0	0	1	1	1	0	0	0	1	1	1	0	0.56	0	1	1.421	0.507	0.175	0.860768058737412	NA	0	5.6809	4.3796	4.3796	TRUE	0.5676
